Company Name,Verticals,Keywords,Company Financing Status,Total Raised,Business Status,Ownership Status,Universe,Employees,Exchange,Ticker,Year Founded,HQ Location,HQ City,HQ State/Province,HQ Country,HQ Global Region,HQ Global Sub Region,# Active Investors,Acquirers,First Financing Date,First Financing Size,First Financing Valuation,First Financing Deal Type,First Financing Deal Type 2,First Financing Deal Class,First Financing Status,Last Financing Date,Last Financing Size,Last Financing Valuation,Last Financing Deal Type,Last Financing Deal Type 2,Last Financing Deal Class,Last Updated Date,Last Known Valuation (M),Last Known Valuation Date,Count,First Financing Deal Year,Current Year
VORAGO Technologies,"Manufacturing, Space Technology, TMT","fabless semiconductor, generation node, manufacturing circuit, semiconductor application, semiconductor technology",Venture Capital-Backed,25.15,Generating Revenue,Privately Held (backing),Venture Capital,15,,,2004,"Austin, TX",Austin,Texas,United States,Americas,North America,1,,09-Nov-2007,2.63,8.45,Early Stage VC,Series A1,Venture Capital,Completed,01-Sep-2015,10.00,28.23,Later Stage VC,,Venture Capital,22-Sep-2020,28.23,01-Sep-2015,1,2007,2020
Isotropic Systems,"Space Technology, TMT","antenna design, antenna designer, antenna system, communication product, mobility sector, satellite antennas developer, terminal product",Venture Capital-Backed,25.01,Product In Beta Test,Privately Held (backing),Venture Capital,50,,,2013,"London, United Kingdom",London,England,United Kingdom,Europe,Western Europe,8,,,,,Angel (individual),Angel (individual),Individual,Completed,24-Jul-2019,19.16,34.25,Later Stage VC,Series A,Venture Capital,25-Sep-2020,34.25,24-Jul-2019,1,,2020
PredaSAR,"Industrials, SaaS, Space Technology","satellite constellation, satellite imagery, satellite imagery data, satellite imaging, synthetic aperture radar",Venture Capital-Backed,25,Generating Revenue,Privately Held (backing),Venture Capital,14,,,2019,"Boca Raton, FL",Boca Raton,Florida,United States,Americas,North America,2,,24-Feb-2020,25.00,90.00,Seed Round,Seed Round,Venture Capital,Completed,24-Feb-2020,25.00,90.00,Seed Round,Seed Round,Venture Capital,27-Oct-2020,90,24-Feb-2020,1,2020,2020
Astro Digital,"Space Technology, TMT","aquila space, landmapper, remote sensing, satellite, satellite bus, satellite data, satellite data analysis, satellite imagery, satellite imagery platform, satellite imaging, space application",Venture Capital-Backed,24.17,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",25,,,2014,"Santa Clara, CA",Santa Clara,California,United States,Americas,North America,13,,31-Dec-2015,1.00,,Seed Round,Seed Round,Venture Capital,Completed,27-Apr-2020,,,Debt - PPP,,Debt,09-Sep-2020,,,1,2015,2020
Accion Systems,"Industrials, Manufacturing, Nanotechnology, Space Technology, TMT","customizable propulsion systems, electric propulsion, propulsion systems, propulsion systems manufacturer, satellite subsystems, space industry, space technology",Venture Capital-Backed,23.93,Generating Revenue,Privately Held (backing),Venture Capital,35,,,2014,"Boston, MA",Boston,Massachusetts,United States,Americas,North America,28,,,,,Accelerator/Incubator,,Other,Completed,11-Aug-2020,2.25,,Grant,,Other,30-Sep-2020,43.5,03-Feb-2020,1,,2020
PlanetiQ,"Industrials, SaaS, Space Technology","atmospheric data, climate monitoring, commercial satellite imagery, on-orbit satellite service, weather forecasting",Venture Capital-Backed,23.9,Generating Revenue,Privately Held (backing),Venture Capital,17,,,2012,"Golden, CO",Golden,Colorado,United States,Americas,North America,13,,01-Feb-2018,5.20,,Early Stage VC,,Venture Capital,Completed,10-Jul-2019,18.70,,Early Stage VC,Series B,Venture Capital,14-Sep-2020,,,1,2018,2020
Kairos Aerospace,"Industrials, Space Technology, TMT","aerial mapping, aerial survey, energy data, satellite surveillance, satellite survey",Venture Capital-Backed,23.31,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",28,,,2013,"Mountain View, CA",Mountain View,California,United States,Americas,North America,5,,13-Jul-2015,2.21,9.71,Early Stage VC,Series A,Venture Capital,Completed,01-May-2020,,,Debt - PPP,,Debt,22-Oct-2020,50,15-Apr-2020,1,2015,2020
Firefly Aerospace,"Space Technology, TMT","aerospace engineering, launch service, propulsion systems, satellite launch, satellite launcher vehicle, space launch, space travel",Venture Capital-Backed,23.16,Generating Revenue,Privately Held (backing),Venture Capital,350,,,2013,"Austin, TX",Austin,Texas,United States,Americas,North America,1,,01-Jan-2013,,,Angel (individual),Angel (individual),Individual,Completed,20-Mar-2019,1.00,,Later Stage VC,,Venture Capital,25-Oct-2020,75,21-Aug-2017,1,2013,2020
Space Adventures,"Industrials, Space Technology, TMT","launch tour, space, space exploration, space flight training, space frontier, space tourism, suborbital spaceflight",Venture Capital-Backed,21.81,Generating Revenue,Privately Held (backing),Venture Capital,,,,1998,"Tysons, VA",Tysons,Virginia,United States,Americas,North America,9,,17-Feb-2006,,,Corporate,Corporate,Corporate,Completed,01-Oct-2008,,,Seed Round,Seed Round,Venture Capital,25-Jun-2020,,,1,2006,2020
Xcor Aerospace,"Industrials, Manufacturing, Space Technology, TMT","launch vehicle, medical screening training, rocket piston pumps, rocket power vehicles, rocket propulsion systems",Formerly VC-backed,19.33,Bankruptcy: Liquidation,Out of Business,"Debt Financed, Venture Capital",25,,,1999,"Mojave, CA",Mojave,California,United States,Americas,North America,,,01-Jun-2007,,,Seed Round,Seed Round,Venture Capital,Completed,08-Nov-2017,,,Bankruptcy: Liquidation,,Bankruptcy,21-May-2020,,,1,2007,2020
Axiom Space,"Manufacturing, Space Technology, TMT","astronauts, human spaceflight, space exploration, space station, space station components, space tourism, spacecraft engineering, spaceflight training",Venture Capital-Backed,19,Generating Revenue,Privately Held (backing),Venture Capital,19,,,2016,"Houston, TX",Houston,Texas,United States,Americas,North America,8,,01-Dec-2016,3.00,,Seed Round,Seed Round,Venture Capital,Completed,,100.00,,Early Stage VC,Series A,Venture Capital,27-Oct-2020,,,1,2016,2020
Apollo Fusion,Space Technology,"electric propulsion systems, fusion hybrid power, fusion power plant, fusion reactor, satellite propulsion systems",Venture Capital-Backed,18,Generating Revenue,Privately Held (backing),Venture Capital,20,,,2016,"Los Altos, CA",Los Altos,California,United States,Americas,North America,1,,01-Sep-2016,8.00,27.90,Early Stage VC,Series A,Venture Capital,Completed,11-Jul-2018,10.00,37.50,Early Stage VC,Series B,Venture Capital,04-Sep-2020,37.5,11-Jul-2018,1,2016,2020
Akash Systems,"Space Technology, TMT","gallium nitride, rf product, satellite radio, satellite system, satellite technology, space satellites",Venture Capital-Backed,17.6,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",55,,,2015,"San Francisco, CA",San Francisco,California,United States,Americas,North America,17,,30-Jan-2018,3.10,15.10,Seed Round,Seed Round,Venture Capital,Completed,15-Apr-2020,,,Debt - PPP,,Debt,23-Sep-2020,30,02-Jul-2019,1,2018,2020
Astrocast,"Internet of Things, Space Technology, TMT","mechanical systems, miniaturized systems, nano satellites missions, nanosatellite, nanosatellite ecosystem",Venture Capital-Backed,17.24,Generating Revenue,Privately Held (backing),"Debt Financed, M&A, Venture Capital",52,,,2014,"Ecublens, Switzerland",Ecublens,,Switzerland,Europe,Western Europe,10,,01-Jan-2015,0.51,,Debt - General,,Debt,Completed,11-Mar-2020,,,Corporate,Corporate,Corporate,15-Oct-2020,38.17,04-Sep-2019,1,2015,2020
LeoLabs,Space Technology,"debris tracking service, radar tech, radar technology, satellite protection, satellite tracking, satellite tracking device, satellite tracking system",Venture Capital-Backed,16.95,Generating Revenue,Privately Held (backing),Venture Capital,34,,,2016,"Menlo Park, CA",Menlo Park,California,United States,Americas,North America,13,,27-Feb-2017,3.95,10.50,Seed Round,Seed Round,Venture Capital,Completed,14-Dec-2018,13.00,33.00,Early Stage VC,Series A,Venture Capital,16-Sep-2020,33,14-Dec-2018,1,2017,2020
Loft Orbital,"Space Technology, TMT","satellite missions, satellite platform, satellite platform developer, space missions, space-based data, space-based service",Venture Capital-Backed,16.2,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",61,,,2017,"San Francisco, CA",San Francisco,California,United States,Americas,North America,11,,13-Nov-2017,3.20,13.00,Seed Round,Seed Round,Venture Capital,Completed,16-Apr-2020,,,Debt - PPP,,Debt,01-Oct-2020,43,13-Nov-2019,1,2017,2020
BridgeComm,"Big Data, Industrials, Space Technology, TMT","communication solutions, data transmission, optical connectivity, satellite data communication, satellite operator",Venture Capital-Backed,16,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",15,,,2015,"Denver, CO",Denver,Colorado,United States,Americas,North America,5,,21-Mar-2016,,,Accelerator/Incubator,,Other,Completed,30-Apr-2020,,,Debt - PPP,,Debt,14-Sep-2020,37.5,06-Sep-2018,1,2016,2020
Media Lario,"Industrials, Manufacturing, Space Technology, TMT","optical system, satellite imagery, space exploration, space exploration device, space observation",Venture Capital-Backed,15.09,Generating Revenue,Privately Held (backing),Venture Capital,36,,,1993,"Bosisio Parini, Italy",Bosisio Parini,,Italy,Europe,Southern Europe,6,,07-Feb-2004,15.09,,Later Stage VC,Series A,Venture Capital,Completed,01-Oct-2009,,,Secondary Transaction - Private,,Venture Capital,26-Oct-2020,,,1,2004,2020
Mission Microwave,"Industrials, Space Technology, TMT","amplifiers, blocks upconverters, gan transistors, microwave electronics, solid-state power amplifier",Venture Capital-Backed,15,Generating Revenue,Privately Held (backing),Venture Capital,11,,,2014,"Santa Fe Springs, CA",Santa Fe Springs,California,United States,Americas,North America,1,,21-Jun-2016,15.00,22.50,Early Stage VC,Series A,Venture Capital,Completed,21-Jun-2016,15.00,22.50,Early Stage VC,Series A,Venture Capital,16-Jul-2020,22.5,21-Jun-2016,1,2016,2020
Phase Four,"Industrials, Manufacturing, Space Technology, TMT","electric propulsion aerospace, plasma propulsion, plasma propulsion device, propulsion systems, satellite propulsion, small satellite propulsion, spacecraft propulsion",Venture Capital-Backed,13.97,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",24,,,2015,"El Segundo, CA",El Segundo,California,United States,Americas,North America,11,,27-Oct-2015,,,Accelerator/Incubator,,Other,Completed,30-Apr-2020,,,Debt - PPP,,Debt,06-Oct-2020,25.57,29-Jan-2020,1,2015,2020
Astraea,"Artificial Intelligence & Machine Learning, Big Data, Space Technology, TMT","big data technology, earth-observing satellite, geospatial raster data, geospatial-temporal data, machine learning analytics technology, satellite data platform",Venture Capital-Backed,13.96,Generating Revenue,Privately Held (backing),Venture Capital,16,,,2016,"Charlottesville, VA",Charlottesville,Virginia,United States,Americas,North America,2,,06-Sep-2017,3.20,8.20,Angel (individual),Series A,Individual,Completed,31-Aug-2020,3.60,7.60,Early Stage VC,Series AA,Venture Capital,20-Oct-2020,7.6,31-Aug-2020,1,2017,2020
ATLAS Space Operations,"SaaS, Space Technology, TMT","ground communication network, satellite based networking, satellite command system, space communication, space communication system, space networking, virtual satellite operation",Venture Capital-Backed,13.8,Generating Revenue,Privately Held (backing),Venture Capital,30,,,2015,"Traverse City, MI",Traverse City,Michigan,United States,Americas,North America,10,,27-Oct-2015,,,Accelerator/Incubator,,Other,Completed,01-Jan-2021,,,Later Stage VC,,Venture Capital,27-Oct-2020,27,09-Feb-2020,1,2015,2020
OEwaves,"Industrials, Manufacturing, Space Technology, TMT","5g product, laser instruments, measurement system, microwave photonics technology, military application, military measurement system, military radar, optical resonator, optoelectronic oscillator, terabit radio",Venture Capital-Backed,12.8,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",23,,,2000,"Pasadena, CA",Pasadena,California,United States,Americas,North America,8,,01-Jan-2001,0.40,1.08,Early Stage VC,Series A,Venture Capital,Completed,27-Apr-2020,,,Debt - PPP,,Debt,28-Oct-2020,24.04,20-Oct-2003,1,2001,2020
CrowdAI,"Artificial Intelligence & Machine Learning, Internet of Things, Mobility Tech, Robotics and Drones, Space Technology, TMT","aerial images, aerial images mapping, deep learning software, drones imaging, image recognition software, obstacle detection software",Venture Capital-Backed,12.7,Generating Revenue,Privately Held (backing),Venture Capital,,,,2016,"Mountain View, CA",Mountain View,California,United States,Americas,North America,10,,23-Aug-2016,0.12,1.71,Accelerator/Incubator,,Other,Completed,14-Jul-2020,10.10,30.10,Early Stage VC,Series A,Venture Capital,22-Oct-2020,30.1,14-Jul-2020,1,2016,2020
Satelytics,"Artificial Intelligence & Machine Learning, Big Data, Space Technology, TMT","characterization technology, geospatial analytics, images algorithm, real time data, satellite image algorithm, satellite sensor, spectral imagery",Venture Capital-Backed,12.35,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",20,,,2009,"Toledo, OH",Toledo,Ohio,United States,Americas,North America,6,,21-Jun-2012,1.20,,Seed Round,Seed Round,Venture Capital,Completed,18-Jun-2020,5.00,,Later Stage VC,,Venture Capital,09-Sep-2020,5.7,23-Aug-2017,1,2012,2020
Totum,Space Technology,"stealth business, stealth company, stealth corporation, stealth operations, stealth telecommunication",Venture Capital-Backed,12.23,Generating Revenue,Privately Held (backing),Venture Capital,,,,2018,"San Diego, CA",San Diego,California,United States,Americas,North America,8,,11-Dec-2018,2.23,6.58,Early Stage VC,,Venture Capital,Completed,,,,Early Stage VC,,Venture Capital,26-Oct-2020,6.58,11-Dec-2018,1,2018,2020
Orbion Space Technology,"Industrials, Infrastructure, Space Technology, TMT","plasma propulsion systems, propel satellite, satellite, satellite imagery, spacecraft electronic systems",Venture Capital-Backed,12,Generating Revenue,Privately Held (backing),Venture Capital,10,,,2016,"Houghton, MI",Houghton,Michigan,United States,Americas,North America,7,,07-Jul-2017,1.36,4.35,Seed Round,Seed Round,Venture Capital,Completed,27-Aug-2019,10.14,,Early Stage VC,Series A,Venture Capital,19-Aug-2020,4.35,07-Jul-2017,1,2017,2020
Exos Aerospace,Space Technology,"aerospace engineering, efficient payload integration, hypersonic missions, reusable launch vehicle, space hardware locations, space launch, suborbital reusable launch vehicle",Angel-Backed,11.18,Generating Revenue,Privately Held (backing),Pre-venture,20,,,2014,"Greenville, TX",Greenville,Texas,United States,Americas,North America,,,01-May-2015,4.25,20.00,Angel (individual),Angel (individual),Individual,Completed,27-Aug-2019,1.12,101.12,Angel (individual),Angel (individual),Individual,07-Aug-2020,101.12,27-Aug-2019,1,2015,2020
Fleet,"Internet of Things, Space Technology, TMT","bandwidth connectivity, connectivity network, connectivity system, data services, nanosatellite ecosystem, nanosatellites, remote connectivity, space technology company",Venture Capital-Backed,11.17,Generating Revenue,Privately Held (backing),Venture Capital,15,,,2015,"Beverley, Australia",Beverley,South Australia,Australia,Oceania,Oceania,9,,,0.05,,Seed Round,Seed Round,Individual,Completed,05-Sep-2019,7.30,,Early Stage VC,Series A,Venture Capital,07-Oct-2020,,,1,,2020
Zero Gravity Solutions,"AgTech, Life Sciences, Space Technology, TMT","biotechnology services, commercializing, industrializing, microgravity research, zero gravity biotechnology",Corporation,10.84,Generating Revenue/Not Profitable,Publicly Held,"Debt Financed, Private Equity, Publicly Listed",17,PINX,ZGSI,1983,"Boca Raton, FL",Boca Raton,Florida,United States,Americas,North America,,,30-Apr-2008,,,IPO,,Public Investment,Completed,03-May-2020,,,Debt - PPP,,Debt,09-Sep-2020,,,1,2008,2020
SkyWatch,"Big Data, Space Technology, TMT","data intelligence, remote sensing data, satellite data analysis, satellite data application, satellite data imaging, satellite data intelligence platform, satellite image analytics",Venture Capital-Backed,10.82,Generating Revenue,Privately Held (backing),Venture Capital,43,,,2014,"Waterloo, Canada",Waterloo,Ontario,Canada,Americas,North America,17,,29-Aug-2014,,,Accelerator/Incubator,,Other,Completed,03-Jan-2020,7.50,,Later Stage VC,Series A,Venture Capital,01-Sep-2020,,,1,2014,2020
Fraym,"Artificial Intelligence & Machine Learning, Big Data, SaaS, Space Technology, TMT","geographic data insights, geospatial, geospatial analysis, geospatial platform, satellite imagery",Venture Capital-Backed,10.62,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",16,,,2015,"Arlington, VA",Arlington,Virginia,United States,Americas,North America,2,,21-Apr-2017,4.10,11.56,Early Stage VC,Series A,Venture Capital,Completed,30-Apr-2020,,,Debt - PPP,,Debt,09-Sep-2020,27.57,12-Mar-2020,1,2017,2020
Hera Systems,"Industrials, Space Technology, TMT","earthing imaging, geospatial imaging, satellite imaging, satellite information analytics, satellite information service",Venture Capital-Backed,10.49,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",9,,,2013,"San Jose, CA",San Jose,California,United States,Americas,North America,1,,12-Sep-2013,2.40,,Angel (individual),Angel (individual),Individual,Completed,19-Aug-2019,1.00,57.00,Later Stage VC,Series C,Venture Capital,25-Aug-2020,57,19-Aug-2019,1,2013,2020
VestaSpace,Space Technology,"satellite provider, satellite system design, satellite system developer, satellite technology, space technology",Corporate Backed or Acquired,10,Generating Revenue,Privately Held (backing),M&A,50,,,2018,"Pune, India",Pune,Maharashtra,India,Asia,South Asia,1,,06-May-2020,10.00,,Corporate,Corporate,Corporate,Completed,06-May-2020,10.00,,Corporate,Corporate,Corporate,08-May-2020,,,1,2020,2020
Septentrio,"Space Technology, TMT","global navigation, global navigation satellite system, gps receivers technologies, satellite navigation, survey equipment",Venture Capital-Backed,8.54,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",133,,,2000,"Leuven, Belgium",Leuven,,Belgium,Europe,Western Europe,3,,,3.53,,Early Stage VC,,Venture Capital,Completed,,,,Debt - General,,Debt,01-Sep-2020,8.5,15-Dec-2015,1,,2020
Intelescope Solutions,"Big Data, Industrials, Robotics and Drones, Space Technology, TMT","aerial photography, forest analysis, forest analytics, forest analytics services, images analysis",Formerly Angel backed,8.3,Out of Business,Out of Business,Pre-venture,,,,2009,"Petach Tikvah, Israel",Petach Tikvah,,Israel,Middle East,Middle East,,,25-Mar-2015,8.30,,Angel (individual),Angel (individual),Individual,Completed,01-Feb-2016,,,Out of Business,,Out of Business,27-Jul-2019,,,1,2015,2020
AMOS,Space Technology,"optical instruments, optomechanical instruments, optomechanical systems, space equipment development, space instruments",Venture Capital-Backed,7.99,Profitable,Privately Held (backing),Venture Capital,60,,,1983,"Liege, Belgium",Liege,,Belgium,Europe,Western Europe,4,,05-Apr-2007,2.92,3.49,Later Stage VC,,Venture Capital,Completed,03-Nov-2014,5.07,10.15,Later Stage VC,,Venture Capital,01-Jun-2020,10.15,03-Nov-2014,1,2007,2020
GeoOptics,"Industrials, Space Technology, TMT","atmosphere monitoring, environmental data, environmental earthing observation, weather forecasting, weather tracking",Angel-Backed,7.15,Generating Revenue,Privately Held (backing),Pre-venture,,,,2005,"Pasadena, CA",Pasadena,California,United States,Americas,North America,2,,01-Jan-2010,0.09,,Grant,,Other,Completed,21-Dec-2018,2.00,,Angel (individual),Angel (individual),Individual,07-Nov-2019,,,1,2010,2020
EarthNow,"Space Technology, TMT","imaging system, satellite imagery technology, satellite imaging, satellite imaging platform, satellite imaging system",Venture Capital-Backed,6.6,Generating Revenue,Privately Held (backing),Venture Capital,,,,2017,"Bellevue, WA",Bellevue,Washington,United States,Americas,North America,5,,18-Jan-2018,6.60,,Seed Round,Seed Round,Venture Capital,Completed,18-Jan-2018,6.60,,Seed Round,Seed Round,Venture Capital,13-Jul-2020,,,1,2018,2020
Benchmark Space Systems,"Manufacturing, Space Technology","propulsion solutions, satellite developer, satellite manufacturer, satellite propulsion, satellite propulsion product, small satellite integration",Venture Capital-Backed,5.87,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",21,,,2017,"Burlington, VT",Burlington,Vermont,United States,Americas,North America,7,,,,,Accelerator/Incubator,,Other,Completed,27-May-2020,3.25,17.25,Seed Round,Seed Round,Venture Capital,09-Sep-2020,17.25,27-May-2020,1,,2020
NanoRacks,"Industrials, Space Technology, TMT","commercial space research, commercial space research facility, microgravity research, space industry, space research",Venture Capital-Backed,5.5,Generating Revenue,Privately Held (backing),Venture Capital,71,,,2009,"Webster, TX",Webster,Texas,United States,Americas,North America,12,,20-Jun-2011,0.50,,Seed Round,Seed Round,Venture Capital,Completed,10-Dec-2017,0.02,,Product Crowdfunding,,Individual,18-Oct-2020,,,1,2011,2020
GITAI,"Robotics and Drones, Space Technology","humanoid robots platform, remote control robots, robotics astronauts, space development robots, space robots, telepresence robots",Venture Capital-Backed,5.48,Generating Revenue,Privately Held (backing),Venture Capital,9,,,2016,"San Francisco, CA",San Francisco,California,United States,Americas,North America,8,,12-Sep-2016,0.13,,Seed Round,Seed Round,Venture Capital,Completed,14-Jun-2019,4.10,25.10,Early Stage VC,Series A,Venture Capital,14-Sep-2020,25.1,14-Jun-2019,1,2016,2020
OmniEarth,"Space Technology, TMT","earthing information, earthing observation, geoanalytics, geoinformatics, geospatial, multispectral images",Formerly VC-backed,5.16,Generating Revenue,Acquired/Merged,Venture Capital,29,,,2014,"Arlington, VA",Arlington,Virginia,United States,Americas,North America,,EagleView Technologies,29-Aug-2014,,,Seed Round,Seed Round,Individual,Completed,01-Apr-2017,,,Merger/Acquisition,,Corporate,06-Oct-2020,22,01-Apr-2015,1,2014,2020
Cloud Constellation,"CloudTech & DevOps, Cybersecurity, SaaS, Space Technology, TMT","cloud networking, cloud services, cloud storage network, cybersecurity, space-based network infrastructure",Angel-Backed,5,Startup,Privately Held (backing),"M&A, Pre-venture",,,,2015,"Los Angeles, CA",Los Angeles,California,United States,Americas,North America,,,08-Mar-2016,5.00,,Angel (individual),Series A,Individual,Completed,20-Dec-2018,100.00,,Corporate,Series B,Corporate,29-Oct-2020,,,1,2016,2020
Orbital Sidekick,"Big Data, Space Technology, TMT","earthing data analysis, earthing data imaging, earthing observation, hyperspectral imaging, hyperspectral technology, multispectral imaging, space research",Venture Capital-Backed,4.97,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",11,,,2016,"San Francisco, CA",San Francisco,California,United States,Americas,North America,5,,01-Jan-2017,,,Accelerator/Incubator,,Other,Completed,15-Apr-2020,,,Debt - PPP,,Debt,27-Oct-2020,11.67,19-Apr-2018,1,2017,2020
Infinite Composites Technologies,Space Technology,"aerospace technology, linerless tank, natural gas vehicle, pressurant tank, propellants tank, space tank",Venture Capital-Backed,4.78,Generating Revenue/Not Profitable,Privately Held (backing),Venture Capital,14,,,2010,"Tulsa, OK",Tulsa,Oklahoma,United States,Americas,North America,15,,01-Aug-2010,0.03,,Grant,,Other,Completed,08-Jun-2020,0.02,0.33,Accelerator/Incubator,,Other,26-Oct-2020,0.33,08-Jun-2020,1,2010,2020
Analytical Space,"Internet of Things, Space Technology, TMT","radio frequency, satellite radio frequency, satellite telecommunication, space telecommunication, telecommunication service",Venture Capital-Backed,4.54,Generating Revenue,Privately Held (backing),"Debt Financed, Venture Capital",19,,,2016,"Cambridge, MA",Cambridge,Massachusetts,United States,Americas,North America,17,,,,,Angel (individual),Angel (individual),Individual,Completed,27-Apr-2020,,,Debt - PPP,,Debt,08-Oct-2020,14.97,25-Aug-2017,1,,2020
Agile Space Industries,Space Technology,"bipropellant, propulsion systems, propulsion systems manufacturer, spacecraft, spacecraft propulsion",Venture Capital-Backed,4.5,Generating Revenue,Privately Held (backing),Venture Capital,11,,,2009,"Durango, CO",Durango,Colorado,United States,Americas,North America,3,,16-Aug-2018,,,Accelerator/Incubator,,Other,Completed,14-Oct-2020,4.50,,Seed Round,Seed Round,Venture Capital,15-Oct-2020,,,1,2018,2020
Vanguard Space Technologies,"Impact Investing, Industrials, Manufacturing, Space Technology, TMT","aerospace structure, impact investing vertical",Private Equity-Backed,4.5,Generating Revenue,Acquired/Merged,"Debt Financed, Private Equity",105,,,1994,"San Diego, CA",San Diego,California,United States,Americas,North America,,SolAero Technologies,01-Jan-2004,,,PE Growth/Expansion,,Private Equity,Completed,11-May-2016,,,Buyout/LBO,Secondary Buyout,Private Equity,16-Apr-2020,28.57,03-Mar-2009,1,2004,2020
Global Surface Intelligence,"AgTech, Big Data, Robotics and Drones, Space Technology, TMT","carbon monitoring, decision making data, environmental impact, predictive analytics, satellite data, soil survey",Venture Capital-Backed,4.49,Generating Revenue,Privately Held (backing),Venture Capital,,,,2012,"Edinburgh, United Kingdom",Edinburgh,Scotland,United Kingdom,Europe,Western Europe,6,,20-Jan-2013,0.64,1.93,Early Stage VC,,Venture Capital,Completed,24-Jun-2019,1.01,5.49,Later Stage VC,,Venture Capital,10-Aug-2020,5.49,24-Jun-2019,1,2013,2020
Spacedev,"Industrials, Manufacturing, Robotics and Drones, Space Technology, TMT","microsatellite, orbital hybrid rocket, satellite system",Corporate Backed or Acquired,4.4,Profitable,Acquired/Merged,"M&A, Publicly Listed",185,,,1997,"Poway, CA",Poway,California,United States,Americas,North America,,Sierra Nevada,04-Aug-1998,,,IPO,,Public Investment,Completed,16-Dec-2008,,,Merger/Acquisition,Public to Private,Corporate,29-Apr-2020,23.15,19-Sep-2007,1,1998,2020
Orbit Fab,Space Technology,"fuel refueling facility, fuel transfer interface, on orbit refueling, satellite product, satellite refueling technology, space fuel, space technology",Private Equity-Backed,4.25,Generating Revenue,Privately Held (backing),"Private Equity, Venture Capital",,,,2018,"San Francisco, CA",San Francisco,California,United States,Americas,North America,11,,01-Jan-2018,0.12,,Grant,,Other,Completed,,,,PE Growth/Expansion,,Private Equity,15-Sep-2020,10,03-Oct-2019,1,2018,2020
FluroSat,"AgTech, Robotics and Drones, Space Technology, TMT","agronomic advice, agtech information, agtech platform, crop health monitoring, crop health performance, precision agriculture equipment, predictive crop health monitoring",Venture Capital-Backed,4.2,Generating Revenue,Privately Held (backing),Venture Capital,21,,,2016,"Syndey, Australia",Syndey,New South Wales,Australia,Oceania,Oceania,14,,13-Feb-2017,0.05,,Accelerator/Incubator,,Other,Completed,25-Jul-2019,2.86,,Seed Round,Seed Round,Venture Capital,17-Aug-2020,,,1,2017,2020
Kubos,"CloudTech & DevOps, SaaS, Space Technology","flight software platform, open source community, satelite platform, satellite developer, software consulting",Venture Capital-Backed,4.2,Generating Revenue,Privately Held (backing),Venture Capital,7,,,2014,"Denton, TX",Denton,Texas,United States,Americas,North America,11,,01-Aug-2016,0.77,2.77,Seed Round,Seed Round,Venture Capital,Completed,,1.70,11.00,Early Stage VC,,Venture Capital,27-Oct-2020,5.15,06-Apr-2017,1,2016,2020
Terra Bella,"Space Technology, TMT","high resolution imagery, multispectral images, remote sensing, satellite",Corporate Backed or Acquired,4,Generating Revenue,Acquired/Merged,"Debt Financed, M&A, Venture Capital",360,,,2009,"Mountain View, CA",Mountain View,California,United States,Americas,North America,,Planet,31-Jul-2009,3.00,6.36,Early Stage VC,Series A,Venture Capital,Completed,14-Apr-2016,250.00,250.00,Merger/Acquisition,Corporate Divestiture,Corporate,21-Jul-2020,250,14-Apr-2016,1,2009,2020
Lumedyne Technologies,"Industrials, Space Technology, TMT","accelerometer, gyroscopes, magnetometer, temperature sensor",Formerly Angel backed,3.57,Generating Revenue,Acquired/Merged,Pre-venture,11,,,2006,"San Diego, CA",San Diego,California,United States,Americas,North America,,Alphabet,26-Sep-2013,3.57,,Angel (individual),Angel (individual),Individual,Completed,02-Jun-2015,85.00,85.00,Merger/Acquisition,,Corporate,17-Oct-2019,85,02-Jun-2015,1,2013,2020
De-Ice Technologies,"Industrials, Space Technology, TMT","aerospace technology, aircraft de-icing, de-icing device, de-icing product, de-icing technology",Venture Capital-Backed,3.52,Startup,Privately Held (backing),Venture Capital,,,,2015,"Somerville, MA",Somerville,Massachusetts,United States,Americas,North America,13,,,,,Accelerator/Incubator,,Other,Completed,,,,Later Stage VC,,Venture Capital,07-Sep-2020,10.6,10-Oct-2017,1,,2020
Merrimac Industries,"Manufacturing, Space Technology, TMT","microwave components, multifunction module, radio frequency device, rf",Corporate Backed or Acquired,3.38,Profitable,Acquired/Merged,"M&A, Publicly Listed",207,,,1954,"Caldwell, NJ",Caldwell,New Jersey,United States,Americas,North America,,Crane Company,11-Jul-1988,,,IPO,,Public Investment,Completed,01-Feb-2010,54.00,54.00,Merger/Acquisition,,Corporate,19-Apr-2020,54,01-Feb-2010,1,1988,2020
